thisRow.t,notes,subid,session,run,trial.system.time,trial.number,trial.type,Tgt.OnsetTime,Tgt.OffsetTime,trial.rt,trial.target_dur,Fix_after_target.OnsetTime,Fix_after_target.OffsetTime,Fix_after_target.Duration,Fix_ITI.OnsetTime,Fix_ITI.OffsetTime,Fix_ITI.Duration,time.trial,time.global,Winnings,trial.reward,trial.too_slow_rt,MRT,Cue.OnsetTime,Cue.OffsetTime,Cue.Duration,Dly.OnsetTime,Dly.OffsetTime,Dly.Duration,trial.too_fast_rt,Tgt.ACC,Tgt.ACCfeedback,total_earnings,Fb.OnsetTime,Fb.OffsetTime,Fb.Duration,trial.cue_rt,participant,session,fMRI? (yes or no),fMRI trigger on TTL? (yes or no),fMRI reverse screen? (yes or no),start run (0-2),task screen,date,expName,frameRate,
,,587968758647536,1,2,Fri May  1 11:17:46 2026,2,reward.neut,23.55196949999663,23.751413458987372,,0.198,23.755501874984475,25.12650266700075,1.3710456659900956,27.131896209000843,31.14333683400764,4.011499041982461,12.020449291012483,785.0569779590005,6.5,,0.06682312500974441,,19.123678042000392,21.126433833996998,2.0028056669980288,21.127562999987276,23.5515057919838,2.4239915419893805,,3,"Miss!
$0.00",6.5,25.131621834007092,27.118425874999957,1.9867907080042642,0.32533604101627134,587968758647536,1,yes,yes,no,0,2,2026-05-01_11h04.36.099,MID1.1,None,
,,587968758647536,1,2,Fri May  1 11:17:58 2026,3,reward.high,35.41054733400233,35.70949499998824,0.2261052920075599,0.298,35.71219791698968,37.2400677499827,1.5279185829858761,39.244896208983846,45.25574283400783,6.010923249996267,14.111789624992525,799.1693833750032,11.5,5.0,,,31.144709208980203,33.15162658400368,2.006968915986363,33.15294937498402,35.409948041982716,2.257057957991492,,1,"Hit!
+$5.00",11.5,37.245770999987144,39.230112333985744,1.9843296250037383,,587968758647536,1,yes,yes,no,0,2,2026-05-01_11h04.36.099,MID1.1,None,
,,587968758647536,1,2,Fri May  1 11:18:12 2026,4,loss.neut,49.72314637500676,49.96429595898371,,0.238,49.9749870839878,51.26410283398582,1.2891681659966707,53.27353791700443,57.27259233398945,3.9990984169999138,12.01623812498292,811.1862066249887,11.5,-0.0,0.005158208006276199,,45.2571232499904,47.263882166997064,2.0067987919901498,47.264968749979744,49.722422833991004,2.4575290830107406,,3,"Miss!
-$0.00",11.5,51.2695646249922,53.26419699998223,1.9946178329992108,,587968758647536,1,yes,yes,no,0,2,2026-05-01_11h04.36.099,MID1.1,None,
,,587968758647536,1,2,Fri May  1 11:18:24 2026,5,loss.high,61.32296495899209,61.60524295899086,0.2671329579898156,0.278,61.60748687500018,63.30558575000032,1.6981332499999553,65.31026720898808,71.31044570897939,6.000223832990741,14.037472458003322,825.2240632500034,11.5,,,,57.27376291700057,59.28055291698547,2.0068320000136737,59.28158974999678,61.322450916981325,2.040917125006672,,1,"Hit!
$0.00",11.5,63.310923249984626,65.29752841699519,1.986590292013716,,587968758647536,1,yes,yes,no,0,2,2026-05-01_11h04.36.099,MID1.1,None,
,,587968758647536,1,2,Fri May  1 11:18:38 2026,6,reward.high,75.56877483398421,75.84697524999501,0.21838387500611134,0.278,75.8530950419954,77.3933232499985,1.5402606670104433,79.4025381669926,83.40164687499055,3.9992100410163403,12.090738917002454,837.3152847089805,16.5,5.0,,,71.31149554200238,73.32239816698711,2.0109439170046244,73.32335737498943,75.56829241698142,2.244980166986352,,1,"Hit!
+$5.00",16.5,77.39766083398717,79.39332124998327,1.9956490829936229,,587968758647536,1,yes,yes,no,0,2,2026-05-01_11h04.36.099,MID1.1,None,
,,587968758647536,1,2,Fri May  1 11:18:50 2026,7,loss.low,87.79782633399009,88.04109666700242,0.2285712079901714,0.238,88.04321099998197,89.44339979198412,1.4002359999867622,91.44794933398953,97.45146312500583,6.0035678329877555,14.049123792006867,851.3650901670044,16.5,,,,83.40333958397969,85.41411245899508,2.0108241669950075,85.41513108398067,87.79729595899698,2.382218666985864,,1,"Hit!
$0.00",16.5,89.44870616699336,91.43516624998301,1.9864433749753516,,587968758647536,1,yes,yes,no,0,2,2026-05-01_11h04.36.099,MID1.1,None,
,,587968758647536,1,2,Fri May  1 11:19:04 2026,8,loss.neut,101.84386575000826,102.10258537498885,0.20527812498039566,0.258,102.10636274999706,103.51414345900412,1.407822125009261,105.51956537499791,111.52254337500199,6.003028958017239,14.070499208988622,865.4361681669834,16.5,,,,97.45280212498619,99.45553508398007,2.002791665989207,99.4566529589938,101.8433535840013,2.3867593749891967,,1,"Hit!
$0.00",16.5,103.51443970898981,105.51014687499264,1.9956921249977313,,587968758647536,1,yes,yes,no,0,2,2026-05-01_11h04.36.099,MID1.1,None,
,,587968758647536,1,2,Fri May  1 11:19:18 2026,9,reward.neut,116.01463520899415,116.23448408397962,,0.218,116.23919150000438,117.53518849998363,1.2960505419760011,119.53692854198744,125.54744233400561,6.010561375005636,14.02436341700377,879.4610636669968,16.5,,0.026766249993548596,,111.5238955419918,113.53494974999921,2.0111013750138227,113.53600383398589,116.01402483400307,2.4780808340001386,,3,"Miss!
$0.00",16.5,117.54047870900831,,,,587968758647536,1,yes,yes,no,0,2,2026-05-01_11h04.36.099,MID1.1,None,
,,587968758647536,1,2,Fri May  1 11:19:32 2026,10,reward.neut,130.04304333400796,130.2850212919875,,0.238,130.2898586249794,131.55585937498836,1.2660483329964336,133.56518454200705,135.57674399999087,2.0116154580027796,10.028845416993136,889.490378833987,16.5,,,,125.54850099998293,127.55998770898441,2.0115236660058144,127.56095712498063,130.04281899999478,2.481897791993106,2.4582120000114993,2,"Miss!
$0.00",16.5,131.556158374995,133.55583654198563,1.9996647920052055,,587968758647536,1,yes,yes,no,0,2,2026-05-01_11h04.36.099,MID1.1,None,
,,587968758647536,1,2,Fri May  1 11:19:42 2026,11,reward.low,139.6271944589971,139.98508170899004,0.24905450001824647,0.358,139.98937737499364,141.7098999999871,1.7205637499864679,143.7143411669822,145.72257212499972,2.008287584001664,10.145358499983558,899.6362042090041,18.0,1.5,,,135.57795249999617,137.58477945899358,2.006874875020003,137.58587208398967,139.62666624999838,2.0408499999903142,,1,"Hit!
+$1.50",18.0,141.71507287499844,143.70170049997978,1.9866138749930542,,587968758647536,1,yes,yes,no,0,2,2026-05-01_11h04.36.099,MID1.1,None,
,,587968758647536,1,2,Fri May  1 11:19:52 2026,12,loss.high,149.97307037498103,150.23117908398854,,0.258,150.23680470898398,151.72264083399205,1.4858841660025064,153.73208512499696,159.73917133398936,6.007135457999539,14.01613533301861,913.6527979169914,13.0,-5.0,,,145.72369304200402,147.73070345900487,2.0070592909760308,147.73189858399564,149.97253549998277,2.2406957919884007,,0,"Miss!
-$5.00",13.0,151.7278362920042,153.7141772089817,1.9863304169848561,,587968758647536,1,yes,yes,no,0,2,2026-05-01_11h04.36.099,MID1.1,None,
